codigo|nombre|inicio|fin|ordinarias|extras|remunerado|incapacidad
F12|07 a 17|07:00|17:00|8|0|1|0
F13|08 a 18|08:00|18:00|8|0|1|0
F14|08 a 19|08:00|19:00|8|0|1|0
F15|06 a 16|06:00|16:00|7|3|1|0
H|08 a 10|08:00|10:00|2|0|1|0
I|06 a 16|06:00|16:00|8|1|1|0
I2|06 a 15|06:00|15:00|8|0|1|0
L2|08 a 13|08:00|13:00|5|0|1|0
L3|09 a 18|09:00|18:00|8|0|1|0
L4|09 a 16|09:00|16:00|7|0|1|0
M|07 a 11|07:00|11:00|4|0|1|0
M1|06 a 10|06:00|10:00|4|0|1|0
M2|06 a 11|06:00|11:00|5|0|1|0
M3|7 a 11:30|07:00|11:30|4.5|0|1|0
M4|08 a 12|08:00|00:00|4|0|1|0
M5|07 a 10|07:00|10:00|3|0|1|0
M6|07 a 12|07:00|12:00|5|0|1|0
M7|13 a 17|13:00|17:00|4|0|1|0
M8|06 a 14|06:00|14:00|8|0|1|0
LL|licencia de luto|00:00|00:00|0|0|1|0
LC|licencia calamidad|00:00|00:00|0|0|1|0
LM|licencia de maternidad|00:00|12:00|0|0|1|0
LP|licencia de paternidad|00:00|00:00|0|0|1|0
LNR|licencia no remunerada|00:00|00:00|0|0|0|0
LR|licencia remunerada|00:00|00:00|0|0|1|0
AI|ausencia injustificada|00:00|00:00|0|0|0|0
INC|incapacidad|00:00|00:00|0|0|0|1
DF|dia de la familia|00:00|00:00|0|0|1|0
V|vacaciones|00:00|00:00|0|0|1|0
SUS|suspension|00:00|00:00|0|0|0|0
CD|Licencia por luto|00:00|12:00|0|0|1|0
A+B|Turno adicional 8h|06:00|22:00|8|8|1|0
D+|Adicional diurno|06:00|18:00|0|12|1|0
N+|Adicional nocturno|18:00|06:00|0|12|1|0
C+|Turno C adicional|22:00|06:00|0|8|1|0
A+|Turno A adicional|06:00|14:00|0|8|1|0
B+|Turno B adicional|14:00|22:00|0|8|1|0
D12|7 A 14:30|07:00|14:30|7.5|0|1|0
B15|14:00 a 21:30|14:00|21:30|7.5|0|1|0
B16|11:30 A 19:00|11:30|19:00|7.5|0|1|0
D13|DIURNO|10:00|22:00|8.8|2.4|1|0
F16|6 AM A 9.30 AM - 10 AM A 2 PM|06:00|14:00|7.5|0|1|0
F17|6 AM A 9.30 AM - 10 AM A 2.30 PM|06:00|14:30|8|0|1|0
F18|6 AM A 9.30 AM - 10 AM A 3.00 PM|06:00|15:00|8.5|0|1|0
F19|6 AM A 12.00 PM - 1 PM A 4.00 PM|06:00|16:00|9|0|1|0
F20|6:00 A 12:00 - 12:30 A 14:00|06:00|14:00|7.5|0|1|0
F21|6:00 A 11:00 - 14:00 A 16:30|06:00|16:30|7.5|0|1|0
F22|7:00 A 11:30 - 14:00 A 17:00|07:00|17:00|7.5|0|1|0
F23|6:00 A 12:00 - 14:30 A 16:00|06:00|16:00|7.5|0|1|0
F24|7:00 A 12:00 - 14:30 A 17:00|07:00|17:00|7.5|0|1|0
F25|7:00 A 12:00 - 14:30 A 15:00|07:00|15:00|7.5|0|1|0
F26|9:00 A 12:00 - 12:30 A 17:00|09:00|17:00|7.5|0|1|0
F27|10:00 A 12:00 - 12:30 A 18:00|10:00|18:00|7.5|0|1|0
F28|8:00 A 12:00 - 12:30 A 16:00|08:00|16:00|7.5|0|1|0
F29|6:30 a 12:00 y 12:30 a 14:00|06:30|14:00|7|0|1|0
F30|6:00 a 12:00 y 13:00 a 14:00|06:00|14:00|7|0|1|0
F31|6:00 a 12:00 y 13:00 a 16:00|06:00|16:00|9|0|1|0
F32|9:00 a 13:00 y 14:00 a 18:00|09:00|18:00|8|0|1|0
C5|10PM - 10AM|22:00|10:00|8.8|2.8|1|0
B17|13:00 A 18:00|13:00|18:00|5|0|1|0
